148
./saves/copytask/RNN/HS_128_NL_modrelu_lr_0.0002_BS_10_rinit_henaff_iinit_xavier_decay_0_alpha_0.99/400/
Copy task
RNN
Cuda: False
modrelu
128
Update 1, Time for Update: 0.2479996681213379 , Average Loss: 5.74788761138916, Accuracy: 0.12
Update 2, Time for Update: 0.18568682670593262 , Average Loss: 2.938544750213623, Accuracy: 0.07
Update 3, Time for Update: 0.16566753387451172 , Average Loss: 2.375174045562744, Accuracy: 0.08
Update 4, Time for Update: 0.17351269721984863 , Average Loss: 2.034630298614502, Accuracy: 0.03
Update 5, Time for Update: 0.18165826797485352 , Average Loss: 1.3963782787322998, Accuracy: 0.0
Update 6, Time for Update: 0.19266295433044434 , Average Loss: 0.6104848980903625, Accuracy: 0.0
Update 7, Time for Update: 0.17774319648742676 , Average Loss: 0.6866202354431152, Accuracy: 0.0
Update 8, Time for Update: 0.20675969123840332 , Average Loss: 0.8556981086730957, Accuracy: 0.01
Update 9, Time for Update: 0.17764687538146973 , Average Loss: 0.39922431111335754, Accuracy: 0.0
Update 10, Time for Update: 0.16339659690856934 , Average Loss: 0.3808058500289917, Accuracy: 0.0
Update 11, Time for Update: 0.17351675033569336 , Average Loss: 0.3369341492652893, Accuracy: 0.0
Update 12, Time for Update: 0.17478537559509277 , Average Loss: 0.30343902111053467, Accuracy: 0.0
Update 13, Time for Update: 0.15870952606201172 , Average Loss: 0.526379406452179, Accuracy: 0.07
Update 14, Time for Update: 0.16194629669189453 , Average Loss: 1.5045497417449951, Accuracy: 0.0
Update 15, Time for Update: 0.18161845207214355 , Average Loss: 0.6535745859146118, Accuracy: 0.0
Update 16, Time for Update: 0.20764875411987305 , Average Loss: 0.42664432525634766, Accuracy: 0.0
Update 17, Time for Update: 0.17986321449279785 , Average Loss: 0.37769946455955505, Accuracy: 0.0
Update 18, Time for Update: 0.16214370727539062 , Average Loss: 0.3562771677970886, Accuracy: 0.0
Update 19, Time for Update: 0.17065644264221191 , Average Loss: 0.34122246503829956, Accuracy: 0.0
Update 20, Time for Update: 0.19253969192504883 , Average Loss: 0.32724159955978394, Accuracy: 0.0
Update 21, Time for Update: 0.18973708152770996 , Average Loss: 0.30340006947517395, Accuracy: 0.0
Update 22, Time for Update: 0.17858481407165527 , Average Loss: 0.2904694676399231, Accuracy: 0.0
Update 23, Time for Update: 0.17101693153381348 , Average Loss: 0.28752267360687256, Accuracy: 0.01
Update 24, Time for Update: 0.3249208927154541 , Average Loss: 0.28342682123184204, Accuracy: 0.0
Update 25, Time for Update: 0.5931077003479004 , Average Loss: 0.26258134841918945, Accuracy: 0.1
Update 26, Time for Update: 0.43714284896850586 , Average Loss: 0.29373878240585327, Accuracy: 0.0
Update 27, Time for Update: 0.5952014923095703 , Average Loss: 0.24847380816936493, Accuracy: 0.0
Update 28, Time for Update: 0.5992534160614014 , Average Loss: 0.21934659779071808, Accuracy: 0.06
